image,bbox_x1,bbox_y1,bbox_x2,bbox_y2,merged_plate,avg_confidence
100_jpg.rf.97bb2958d43b8af4b15fd2a4cae41e58.jpg,508,518,559,544,SLA1700J,0.9858450889587402
101_jpg.rf.a4fe2f93ef34dc917007bbdf14c2d469.jpg,503,328,549,395,SJN9205T,0.9368714392185211
119_jpg.rf.832bf86630f41a1da783229e1fe40e21.jpg,502,393,563,429,SMQ7222L,0.9571529030799866
202_jpg.rf.77ada421a1140650c6f0280d4ea54b43.jpg,41,317,99,346,GBC2622C,0.9826990365982056
21_jpg.rf.1e654b31abc024cddfae2fb2e5195ca3.jpg,534,389,596,421,SLP8654J,0.9964967966079712
226_jpg.rf.1b3d24fba7c69b14d4b73400434b1116.jpg,30,407,73,438,PC5216G,0.9574762582778931
248_jpg.rf.129b48b70a77c50d3c76305d62eb2f22.jpg,133,300,216,332,SLC9630P,0.9931167960166931
248_jpg.rf.129b48b70a77c50d3c76305d62eb2f22.jpg,517,345,577,375,SLS9926C,0.9878411293029785
301_jpg.rf.ca6b9799e1a83b97e0c51c125a812483.jpg,493,404,538,431,SLA1700J,0.9908002018928528
495_jpg.rf.41dba77bcf09f6882b6490751eb188e4.jpg,148,370,221,397,SLC9630P,0.9928999543190002
495_jpg.rf.41dba77bcf09f6882b6490751eb188e4.jpg,341,428,390,454,SKN7896G,0.9269949197769165
495_jpg.rf.41dba77bcf09f6882b6490751eb188e4.jpg,537,447,618,481,SLS9926C,0.9829042553901672
505_jpg.rf.03162bc7212bfc12eff0938e6c256afe.jpg,321,407,374,444,SKR1615U,0.9305543899536133
551_jpg.rf.0ec121170c43e37cb16290cd50f705b4.jpg,37,326,75,348,SLS478M,0.9227534532546997
559_jpg.rf.c744c3464cc89331911089e2ad617d7b.jpg,15,413,68,455,SLP1215P,0.9239199161529541
559_jpg.rf.c744c3464cc89331911089e2ad617d7b.jpg,372,480,430,520,SMJ4674Y,0.9743077158927917
560_jpg.rf.470e36fedfe908ea16611031590cc589.jpg,276,421,315,453,SLV3093D,0.8875135779380798
58_jpg.rf.fe2a5de3a5b7f4d6275b323396b4a564.jpg,37,417,98,549,FBG3251L,0.9920051991939545
617_jpg.rf.2cbfea997a236806fe11594d89c2f221.jpg,61,334,106,356,SLC9530F,0.8505769968032837
621_jpg.rf.ac54e0ac652948ba32882790d7b11e8d.jpg,411,417,454,436,SLA1700J,0.9580862522125244
667_jpg.rf.f22e454d58b386f728060e7d996f930e.jpg,89,363,146,391,SFM6196P,0.9879511594772339
667_jpg.rf.f22e454d58b386f728060e7d996f930e.jpg,571,420,610,441,SJT2455J,0.9600063562393188
748_jpg.rf.4e1001db4e2b726acd1802557747f353.jpg,330,382,380,406,SDA4458J,0.9679139852523804
756_jpg.rf.35e9e675ab9286d2dac788b68400efe7.jpg,418,443,465,464,PC5216G,0.9541081190109253
JDSpeedyFront_jpg.rf.57bf99090020f2ff62052f563fe7110c.jpg,225,316,391,376,SMR2529E,0.9951274991035461
PXL_20240305_032104461-PORTRAIT-ORIGINAL_jpg.rf.9d23ece206266023e353389ebe5378ce.jpg,249,256,339,350,SLZ5529E,0.9862917959690094
PXL_20240305_080224511_jpg.rf.f73535879c8937cfb857ba688543c5a2.jpg,200,261,372,373,SNP768T,0.993768572807312
PXL_20240305_080232175_jpg.rf.da012954adb9f9bce7219fa7f9713c21.jpg,120,220,292,394,SKP1727R,0.9900558590888977
PXL_20240306_090753170_jpg.rf.a14e3cb3a98d0613c6875cba72db9e69.jpg,147,262,295,370,SLE6619H,0.9923135638237
PXL_20240306_105520544_jpg.rf.83c1f8fad008eb993afccdb00182561a.jpg,164,294,373,394,SNP3055Y,0.996272087097168
PXL_20240307_073155976_jpg.rf.bad6036672aae65c33c98652ff3b8e3d.jpg,264,184,320,233,FEU775M,0.9248872995376587
PXL_20240307_074158722_jpg.rf.cbf2ac0cb007e73513805fccc3839dcd.jpg,329,216,384,273,GEG163C,0.762124240398407
PXL_20240307_075339969_jpg.rf.7dfe4d280e8e7816b2c496504ace8b4a.jpg,227,124,369,155,SML7398P,0.9787871837615967
PXL_20240308_080345483-MP_jpg.rf.6fd23112cb98b64e2ad05c6898f3e1dd.jpg,327,254,385,300,GBH4221L,0.9858236610889435
PXL_20240308_080450084_jpg.rf.445df5359b776350115fd8f2b107727a.jpg,303,174,384,256,GBD5470Z,0.9602805376052856
PXL_20240308_094903971-MP_jpg.rf.9624f13cf3a0e6052aa3c8c13426a1e2.jpg,274,167,485,296,SKQ4026E,0.9739270210266113
PXL_20240311_074949950-PORTRAIT_jpg.rf.e61cf07959f45ee2972832570ff76425.jpg,160,217,306,347,SLU2567R,0.9853020310401917
PXL_20240311_080423057_jpg.rf.0d4089a99c510840cb69b2afa378166b.jpg,426,277,458,310,SJS4343R,0.9606043696403503
PXL_20240311_085948983_jpg.rf.52fd9b79c41a06c1df52ec6fe4972b7f.jpg,242,339,333,385,SKF1987J,0.9948153495788574
PXL_20240311_102807953_jpg.rf.c74ea4bf306c0d591eaba5618ff4baf2.jpg,134,199,385,366,SJP94B,0.944130003452301
PXL_20240318_082157122_jpg.rf.c3f7ac9cd7915b37711baec5bc8b8498.jpg,153,262,462,319,SNK4724U,0.9919262528419495
WIN_20241013_12_18_34_Pro_jpg.rf.9c399ffc36ff9484b7c025e6fb598190.jpg,343,310,449,408,SJS4441R,0.9811432659626007
